# Automatically generated
# duptype id depth size device inode priority name
DUPTYPE_FIRST_OCCURRENCE 1031 1 8782 2 166351711236259959 1 ./cracky/index.html-nboard=mind_accion=ver_post_idpost=47.html
DUPTYPE_WITHIN_SAME_TREE -1031 1 8782 2 48695170971280804 1 ./cracky/index.html-nboard=mind_accion=ver_post_idpost=47.html.clean.html
DUPTYPE_FIRST_OCCURRENCE 951 1 8804 2 168322036073231260 1 ./cracky/index.html-nboard=art_accion=ver_post_idpost=61.html
DUPTYPE_WITHIN_SAME_TREE -951 1 8804 2 86694292827196972 1 ./cracky/index.html-nboard=art_accion=ver_post_idpost=61.html.clean.html
DUPTYPE_FIRST_OCCURRENCE 1071 1 8821 2 69242844271085320 1 ./cracky/index.html-nboard=mind_accion=ver_post_idpost=86.html
DUPTYPE_WITHIN_SAME_TREE -1071 1 8821 2 56294995342461558 1 ./cracky/index.html-nboard=mind_accion=ver_post_idpost=86.html.clean.html
DUPTYPE_FIRST_OCCURRENCE 955 1 8963 2 53761720551995378 1 ./cracky/index.html-nboard=art_accion=ver_post_idpost=65.html
DUPTYPE_WITHIN_SAME_TREE -955 1 8963 2 33495522228883205 1 ./cracky/index.html-nboard=art_accion=ver_post_idpost=65.html.clean.html
DUPTYPE_FIRST_OCCURRENCE 1005 1 9043 2 222083756624968421 1 ./cracky/index.html-nboard=mind_accion=ver_post_idpost=126.html
DUPTYPE_WITHIN_SAME_TREE -1005 1 9043 2 82472168176540645 1 ./cracky/index.html-nboard=mind_accion=ver_post_idpost=126.html.clean.html
DUPTYPE_FIRST_OCCURRENCE 764 0 9063 2 12384898976107292 1 ./index.html-lang=_catid=13.html
DUPTYPE_WITHIN_SAME_TREE -764 0 9063 2 198721333558256298 1 ./index.html-lang=_catid=13.html.clean.html
DUPTYPE_FIRST_OCCURRENCE 887 1 9105 2 127789639426895457 1 ./cracky/index.html-nboard=art_accion=ver_post_idpost=148.html
DUPTYPE_WITHIN_SAME_TREE -887 1 9105 2 123286039799571222 1 ./cracky/index.html-nboard=art_accion=ver_post_idpost=148.html.clean.html
DUPTYPE_FIRST_OCCURRENCE 943 1 9116 2 108086391057151250 1 ./cracky/index.html-nboard=art_accion=ver_post_idpost=52.html
